alpha,sigma,epsilon,replication,episode,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward,mean_reward
-0.8,0.2,0.0,0,0,-0.3305221,-0.26485622,-0.6071854,-0.30150068,-0.37601611018180847
-0.8,0.2,0.0,0,1,-0.45850128,-0.33062875,-0.80221236,-0.45202124,-0.510840892791748
-0.8,0.2,0.0,0,2,-0.24982046,-0.1941309,-0.517004,-0.23052333,-0.2978696823120117
-0.8,0.2,0.0,0,3,-0.27896664,-0.1954099,-0.58475953,-0.28221762,-0.33533841371536255
-0.8,0.2,0.0,0,4,-0.23806621,-0.17079559,-0.51124525,-0.21107201,-0.2827947735786438
-0.8,0.2,0.0,0,5,-0.42059958,-0.3808691,-0.73743165,-0.45718777,-0.4990220367908478
-0.8,0.2,0.0,0,6,-0.40395764,-0.35437638,-0.7115598,-0.41796613,-0.4719649851322174
-0.8,0.2,0.0,0,7,-0.24516672,-0.17668349,-0.5168998,-0.21471643,-0.2883666157722473
-0.8,0.2,0.0,0,8,-0.26406834,-0.2121909,-0.53778875,-0.250852,-0.31622499227523804
-0.8,0.2,0.0,0,9,-0.30959353,-0.21464851,-0.6292172,-0.31173852,-0.36629945039749146
-0.8,0.2,0.0,0,10,-0.23122129,-0.16188297,-0.51121324,-0.21147928,-0.27894920110702515
-0.8,0.2,0.0,0,11,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,12,-0.21806173,-0.15418679,-0.4867488,-0.19155306,-0.2626376152038574
-0.8,0.2,0.0,0,13,-0.2956434,-0.2534641,-0.57235235,-0.2918834,-0.35333579778671265
-0.8,0.2,0.0,0,14,-0.2782766,-0.2285936,-0.55286103,-0.26751712,-0.3318120837211609
-0.8,0.2,0.0,0,15,-0.22836262,-0.16569367,-0.49743634,-0.20374495,-0.27380937337875366
-0.8,0.2,0.0,0,16,-0.23605937,-0.16935585,-0.50725853,-0.207675,-0.2800872027873993
-0.8,0.2,0.0,0,17,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,18,-0.27676624,-0.22928584,-0.5510682,-0.26728973,-0.33110252022743225
-0.8,0.2,0.0,0,19,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,20,-0.2417974,-0.17415379,-0.5138366,-0.2127887,-0.2856441140174866
-0.8,0.2,0.0,0,21,-0.21852654,-0.15447797,-0.48774314,-0.19222982,-0.2632443606853485
-0.8,0.2,0.0,0,22,-0.23856021,-0.1702836,-0.5160795,-0.21601124,-0.28523364663124084
-0.8,0.2,0.0,0,23,-0.24334621,-0.16872256,-0.5320614,-0.23018982,-0.29357999563217163
-0.8,0.2,0.0,0,24,-0.22335556,-0.15937795,-0.49278405,-0.19759569,-0.2682783305644989
-0.8,0.2,0.0,0,25,-0.23122312,-0.16588117,-0.5032965,-0.20549251,-0.2764733135700226
-0.8,0.2,0.0,0,26,-0.24019444,-0.17429557,-0.51820695,-0.22185442,-0.28863784670829773
-0.8,0.2,0.0,0,27,-0.21714874,-0.15367885,-0.48595566,-0.19132806,-0.2620278298854828
-0.8,0.2,0.0,0,28,-0.2634392,-0.21200997,-0.53485876,-0.2493934,-0.31492531299591064
-0.8,0.2,0.0,0,29,-0.2200399,-0.15670533,-0.48754355,-0.19358124,-0.2644675076007843
-0.8,0.2,0.0,0,30,-0.2253354,-0.16336395,-0.4928034,-0.20015976,-0.27041563391685486
-0.8,0.2,0.0,0,31,-0.39152798,-0.25973588,-0.7586825,-0.4372819,-0.4618070721626282
-0.8,0.2,0.0,0,32,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,33,-0.22285318,-0.16022421,-0.49023142,-0.19702812,-0.2675842344760895
-0.8,0.2,0.0,0,34,-0.21896324,-0.15538484,-0.48666516,-0.19232987,-0.2633357644081116
-0.8,0.2,0.0,0,35,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,36,-0.21951507,-0.15592158,-0.48742434,-0.19302864,-0.2639724314212799
-0.8,0.2,0.0,0,37,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,38,-0.2466132,-0.17385097,-0.5321095,-0.22893581,-0.29537737369537354
-0.8,0.2,0.0,0,39,-0.22221299,-0.15808462,-0.49223733,-0.19648129,-0.2672540545463562
-0.8,0.2,0.0,0,40,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,41,-0.2847205,-0.19179767,-0.60142696,-0.2944042,-0.3430873155593872
-0.8,0.2,0.0,0,42,-0.2547666,-0.17536993,-0.5505594,-0.24758215,-0.3070695400238037
-0.8,0.2,0.0,0,43,-0.21790548,-0.1541411,-0.48610935,-0.19123897,-0.2623487412929535
-0.8,0.2,0.0,0,44,-0.21832414,-0.15462011,-0.48625338,-0.19163649,-0.26270851492881775
-0.8,0.2,0.0,0,45,-0.25220764,-0.18124378,-0.529323,-0.2240461,-0.29670512676239014
-0.8,0.2,0.0,0,46,-0.22136864,-0.1575,-0.4907615,-0.19570965,-0.2663349509239197
-0.8,0.2,0.0,0,47,-0.2248792,-0.1627854,-0.4923221,-0.19958033,-0.26989176869392395
-0.8,0.2,0.0,0,48,-0.21770096,-0.15424943,-0.4868913,-0.192227,-0.26276716589927673
-0.8,0.2,0.0,0,49,-0.21796833,-0.1546099,-0.48658094,-0.19234753,-0.2628766894340515
-0.8,0.2,0.0,0,50,-0.227112,-0.1621048,-0.49764174,-0.20056243,-0.2718552350997925
-0.8,0.2,0.0,0,51,-0.23964134,-0.1670983,-0.5246826,-0.22398998,-0.2888530492782593
-0.8,0.2,0.0,0,52,-0.22963315,-0.16904502,-0.49839315,-0.20679997,-0.2759678363800049
-0.8,0.2,0.0,0,53,-0.24535532,-0.18901438,-0.5154245,-0.22626415,-0.294014573097229
-0.8,0.2,0.0,0,54,-0.23179635,-0.16605827,-0.5079265,-0.21157734,-0.27933961153030396
-0.8,0.2,0.0,0,55,-0.23184139,-0.16223551,-0.512298,-0.21243234,-0.2797017991542816
-0.8,0.2,0.0,0,56,-0.27594486,-0.21535628,-0.54806656,-0.25307778,-0.323111355304718
-0.8,0.2,0.0,0,57,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,58,-0.23470125,-0.17313564,-0.5061058,-0.21283513,-0.2816944718360901
-0.8,0.2,0.0,0,59,-0.23989612,-0.16676009,-0.526788,-0.22560433,-0.28976213932037354
-0.8,0.2,0.0,0,60,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,61,-0.21718895,-0.15374167,-0.48608294,-0.19147308,-0.26212167739868164
-0.8,0.2,0.0,0,62,-0.22018555,-0.15548877,-0.4911003,-0.19468534,-0.26536500453948975
-0.8,0.2,0.0,0,63,-0.21969494,-0.15519321,-0.49013013,-0.19395453,-0.26474320888519287
-0.8,0.2,0.0,0,64,-0.23778261,-0.17299357,-0.50777024,-0.21105514,-0.2824003994464874
-0.8,0.2,0.0,0,65,-0.2730287,-0.20776546,-0.5628719,-0.26768607,-0.3278380036354065
-0.8,0.2,0.0,0,66,-0.31095794,-0.22604828,-0.6059341,-0.29025018,-0.3582976162433624
-0.8,0.2,0.0,0,67,-0.22434042,-0.15874371,-0.4983684,-0.2016152,-0.270766943693161
-0.8,0.2,0.0,0,68,-0.2540947,-0.18396842,-0.5261369,-0.22171539,-0.29647886753082275
-0.8,0.2,0.0,0,69,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,70,-0.21989788,-0.15615247,-0.48959342,-0.1944317,-0.26501885056495667
-0.8,0.2,0.0,0,71,-0.22754793,-0.16341235,-0.4970154,-0.20159015,-0.2723914682865143
-0.8,0.2,0.0,0,72,-0.24169743,-0.18430643,-0.5111693,-0.2214395,-0.2896531820297241
-0.8,0.2,0.0,0,73,-0.21784158,-0.154072,-0.48611042,-0.1911887,-0.2623031735420227
-0.8,0.2,0.0,0,74,-0.23907606,-0.1809364,-0.5081419,-0.21799192,-0.2865365743637085
-0.8,0.2,0.0,0,75,-0.26238412,-0.20171951,-0.5427241,-0.24840766,-0.3138088583946228
-0.8,0.2,0.0,0,76,-0.32984337,-0.28719008,-0.6228286,-0.34009644,-0.39498963952064514
-0.8,0.2,0.0,0,77,-0.21837625,-0.15512267,-0.4866073,-0.19264486,-0.2631877660751343
-0.8,0.2,0.0,0,78,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,79,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,80,-0.26341864,-0.20353092,-0.54463,-0.25110206,-0.3156704008579254
-0.8,0.2,0.0,0,81,-0.21725327,-0.15381593,-0.4862136,-0.19160692,-0.26222240924835205
-0.8,0.2,0.0,0,82,-0.36583054,-0.28834346,-0.6877152,-0.39846638,-0.4350888729095459
-0.8,0.2,0.0,0,83,-0.2640673,-0.18872268,-0.5483689,-0.23993002,-0.310272216796875
-0.8,0.2,0.0,0,84,-0.29012263,-0.19972919,-0.60122657,-0.29170972,-0.3456970453262329
-0.8,0.2,0.0,0,85,-0.21777922,-0.1540069,-0.48612496,-0.19114569,-0.2622641921043396
-0.8,0.2,0.0,0,86,-0.2418215,-0.16887951,-0.52922034,-0.22771196,-0.291908323764801
-0.8,0.2,0.0,0,87,-0.2308468,-0.16166987,-0.5105568,-0.210904,-0.27849435806274414
-0.8,0.2,0.0,0,88,-0.22055271,-0.15781152,-0.48849356,-0.19522347,-0.265520304441452
-0.8,0.2,0.0,0,89,-0.22334391,-0.15735444,-0.49709666,-0.1994419,-0.26930922269821167
