alpha,sigma,epsilon,friction,reward_gap,convergence_time,policy_variance,pareto_inefficiency
-0.8,0.2,0.0,1.0000000000000002,0.4434285163879394,2.0,0.0,0.0
-0.8,0.2,0.25,1.2500000000000002,0.180076777935028,2.0,0.0,0.0
-0.8,0.2,0.5,1.5000000000000007,0.452443778514862,2.0,0.0,0.0
-0.8,0.2,0.75,1.7500000000000007,0.0445138216018676,2.0,0.0,0.0
-0.8,0.2,1.0,2.0000000000000004,0.9457632303237916,2.0,0.0,0.0
-0.8,0.4,0.0,2.0000000000000004,0.3111071586608886,2.0,0.0,0.0
-0.8,0.4,0.25,2.5000000000000004,0.2268799692392349,2.0,0.0,0.0
-0.8,0.4,0.5,3.0000000000000013,1.7895798683166504,2.0,0.0,0.0
-0.8,0.4,0.75,3.5000000000000013,0.8975237607955933,2.0,0.0,0.0
-0.8,0.4,1.0,4.000000000000001,0.4571049213409424,2.0,0.0,0.0
-0.8,0.6,0.0,3.0000000000000004,1.2487497329711914,2.0,0.0,0.0
-0.8,0.6,0.25,3.750000000000001,1.10387122631073,2.0,0.0,0.0
-0.8,0.6,0.5,4.500000000000001,0.4914498329162597,2.0,0.0,0.0
-0.8,0.6,0.75,5.250000000000002,1.873056173324585,2.0,0.0,0.0
-0.8,0.6,1.0,6.000000000000001,1.8611395359039309,2.0,0.0,0.0
-0.8,0.8,0.0,4.000000000000001,1.9029195308685305,2.0,0.0,0.0
-0.8,0.8,0.25,5.000000000000001,2.81477952003479,2.0,0.0,0.0
-0.8,0.8,0.5,6.000000000000003,1.4701817035675049,2.0,0.0,0.0
-0.8,0.8,0.75,7.000000000000003,1.6515960693359375,2.0,0.0,0.0
-0.8,0.8,1.0,8.000000000000002,2.5641021728515625,2.0,0.0,0.0
-0.8,1.0,0.0,5.000000000000001,1.062739610671997,2.0,0.0,0.0
-0.8,1.0,0.25,6.250000000000002,6.943973064422607,2.0,0.0,0.0
-0.8,1.0,0.5,7.500000000000002,2.019461154937744,2.0,0.0,0.0
-0.8,1.0,0.75,8.750000000000002,2.6771461963653564,2.0,0.0,0.0
-0.8,1.0,1.0,10.000000000000002,2.8032455444335938,2.0,0.0,0.0
-0.4,0.2,0.0,0.33333333333333337,0.2980090975761413,2.0,0.0,0.0
-0.4,0.2,0.25,0.4166666666666667,0.2898674607276916,2.0,0.0,0.0
-0.4,0.2,0.5,0.5000000000000001,0.1966078877449035,2.0,0.0,0.0
-0.4,0.2,0.75,0.5833333333333334,0.5929850935935974,2.0,0.0,0.0
-0.4,0.2,1.0,0.6666666666666667,0.3338418304920196,2.0,0.0,0.0
-0.4,0.4,0.0,0.6666666666666667,0.4189597368240356,2.0,0.0,0.0
-0.4,0.4,0.25,0.8333333333333334,0.807463526725769,2.0,0.0,0.0
-0.4,0.4,0.5,1.0000000000000002,0.6638258695602417,2.0,0.0,0.0
-0.4,0.4,0.75,1.1666666666666667,0.4562574625015259,2.0,0.0,0.0
-0.4,0.4,1.0,1.3333333333333335,0.7976137399673462,2.0,0.0,0.0
-0.4,0.6,0.0,1.0,0.8651244640350342,2.0,0.0,0.0
-0.4,0.6,0.25,1.25,0.5259985327720642,2.0,0.0,0.0
-0.4,0.6,0.5,1.5,1.6923835277557373,2.0,0.0,0.0
-0.4,0.6,0.75,1.7500000000000002,0.9965144991874696,2.0,0.0,0.0
-0.4,0.6,1.0,2.0,1.2618005275726318,2.0,0.0,0.0
-0.4,0.8,0.0,1.3333333333333335,1.245990753173828,2.0,0.0,0.0
-0.4,0.8,0.25,1.6666666666666667,4.191961288452148,2.0,0.0,0.0
-0.4,0.8,0.5,2.0000000000000004,1.1641266345977783,2.0,0.0,0.0
-0.4,0.8,0.75,2.3333333333333335,1.5185447931289673,2.0,0.0,0.0
-0.4,0.8,1.0,2.666666666666667,1.6194645166397097,2.0,0.0,0.0
-0.4,1.0,0.0,1.6666666666666667,0.8186087608337402,2.0,0.0,0.0
-0.4,1.0,0.25,2.0833333333333335,1.889339566230774,2.0,0.0,0.0
-0.4,1.0,0.5,2.5,0.8773225545883179,2.0,0.0,0.0
-0.4,1.0,0.75,2.916666666666667,1.4163179397583008,2.0,0.0,0.0
-0.4,1.0,1.0,3.3333333333333335,3.2876181602478027,2.0,0.0,0.0
0.0,0.2,0.0,0.2,0.2365400195121765,2.0,0.0,0.0
0.0,0.2,0.25,0.25,0.6600646376609802,2.0,0.0,0.0
0.0,0.2,0.5,0.30000000000000004,0.7036423683166504,2.0,0.0,0.0
0.0,0.2,0.75,0.35000000000000003,0.5349639654159546,2.0,0.0,0.0
0.0,0.2,1.0,0.4,0.5633311867713928,2.0,0.0,0.0
0.0,0.4,0.0,0.4,2.3353166580200195,2.0,0.0,0.0
0.0,0.4,0.25,0.5,1.7619459629058838,2.0,0.0,0.0
0.0,0.4,0.5,0.6000000000000001,0.6697415113449097,2.0,0.0,0.0
0.0,0.4,0.75,0.7000000000000001,1.4195761680603027,2.0,0.0,0.0
