alpha,sigma,epsilon,replication,episode,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward,mean_reward
-0.8,0.2,0.0,0,0,-0.3305221,-0.26485622,-0.6071854,-0.30150068,-0.37601611018180847
-0.8,0.2,0.0,0,1,-0.45850128,-0.33062875,-0.80221236,-0.45202124,-0.510840892791748
-0.8,0.2,0.25,0,0,-0.117820226,-0.15146163,-0.269769,-0.18549375,-0.18113616108894348
-0.8,0.2,0.25,0,1,-0.10839182,-0.14330475,-0.298339,-0.16603392,-0.17901737987995148
-0.8,0.2,0.5,0,0,-0.4300271,-0.5195341,-0.6592518,-0.250996,-0.4649522602558136
-0.8,0.2,0.5,0,1,-0.38753414,-0.48310336,-0.65240693,-0.2366969,-0.4399353265762329
-0.8,0.2,0.75,0,0,-0.029363045,-0.03307727,-0.03157773,-0.0071725138,-0.025297638028860092
-0.8,0.2,0.75,0,1,-0.07559145,-0.07436855,-0.071058236,-0.03390175,-0.06373000144958496
-0.8,0.2,1.0,0,0,-0.6997558,-0.72909474,-1.1636399,-0.7503597,-0.8357125520706177
-0.8,0.2,1.0,0,1,-0.87842214,-0.9264729,-1.4593985,-0.9589623,-1.0558140277862549
-0.8,0.4,0.0,0,0,-0.39369237,-0.4701157,-0.5291622,-0.54860884,-0.48539477586746216
-0.8,0.4,0.0,0,1,-0.08628119,-0.12030704,-0.16731237,-0.17337738,-0.1368194967508316
-0.8,0.4,0.25,0,0,-0.1731805,-0.31777704,-0.21297231,-0.22382252,-0.23193810880184174
-0.8,0.4,0.25,0,1,-0.16446249,-0.30611408,-0.20291483,-0.213796,-0.2218218594789505
-0.8,0.4,0.5,0,0,-1.5699615,-2.5926409,-1.7406714,-1.7106371,-1.903477668762207
-0.8,0.4,0.5,0,1,-1.3065187,-2.3759,-1.5114745,-1.5088344,-1.6756819486618042
-0.8,0.4,0.75,0,0,-0.90268075,-0.9443376,-1.3310494,-0.7818454,-0.9899782538414001
-0.8,0.4,0.75,0,1,-0.72559077,-0.73497015,-1.1522813,-0.607435,-0.8050692677497864
-0.8,0.4,1.0,0,0,-0.43858346,-0.53039545,-0.45274982,-0.3835415,-0.45131754875183105
-0.8,0.4,1.0,0,1,-0.45073137,-0.54270756,-0.46191642,-0.3962137,-0.4628922939300537
-0.8,0.6,0.0,0,0,-1.1719835,-1.626949,-0.7159829,-1.3680936,-1.220752239227295
-0.8,0.6,0.0,0,1,-1.2294014,-1.6769624,-0.7678376,-1.4327879,-1.276747226715088
-0.8,0.6,0.25,0,0,-1.4681407,-1.5925608,-1.4471556,-1.5591224,-1.51674485206604
-0.8,0.6,0.25,0,1,-0.69517356,-0.73737216,-0.5689056,-0.76253897,-0.6909975409507751
-0.8,0.6,0.5,0,0,-0.4538622,-0.39889565,-0.30563092,-0.6193491,-0.4444344639778137
-0.8,0.6,0.5,0,1,-0.5461135,-0.47609898,-0.42128712,-0.7103611,-0.538465142250061
-0.8,0.6,0.75,0,0,-1.4915948,-2.0409048,-1.5905731,-2.3751028,-1.8745439052581787
-0.8,0.6,0.75,0,1,-1.4752378,-2.0398753,-1.5874455,-2.3837152,-1.8715684413909912
-0.8,0.6,1.0,0,0,-1.2654376,-1.8074198,-2.1131394,-2.738852,-1.9812122583389282
-0.8,0.6,1.0,0,1,-0.97868246,-1.5652677,-1.8926637,-2.5276544,-1.7410671710968018
-0.8,0.8,0.0,0,0,-1.2028555,-1.9737734,-2.3038633,-1.316029,-1.6991302967071533
-0.8,0.8,0.0,0,1,-1.6195779,-2.3365884,-2.6744013,-1.7962669,-2.106708526611328
-0.8,0.8,0.25,0,0,-2.9449177,-3.2944052,-2.512927,-2.6544275,-2.8516693115234375
-0.8,0.8,0.25,0,1,-2.871308,-3.1864753,-2.4590807,-2.5946927,-2.7778892517089844
-0.8,0.8,0.5,0,0,-1.4481757,-1.6751176,-1.0587329,-1.2452853,-1.356827974319458
-0.8,0.8,0.5,0,1,-1.6563885,-1.8809423,-1.3211812,-1.47563,-1.5835354328155518
-0.8,0.8,0.75,0,0,-1.7618017,-1.9242138,-1.4782283,-1.6564951,-1.7051846981048584
-0.8,0.8,0.75,0,1,-1.6773002,-1.8194344,-1.3419942,-1.5533013,-1.5980075597763062
-0.8,0.8,1.0,0,0,-2.6417959,-2.6956453,-3.080233,-1.7859206,-2.550899028778076
-0.8,0.8,1.0,0,1,-2.6719065,-2.724098,-3.1060853,-1.8071315,-2.577305555343628
-0.8,1.0,0.0,0,0,-0.83999914,-1.2011067,-1.1463354,-1.1289903,-1.0791078805923462
-0.8,1.0,0.0,0,1,-0.8412509,-1.146275,-1.1102037,-1.0877557,-1.046371340751648
-0.8,1.0,0.25,0,0,-7.2752986,-6.692701,-5.063637,-6.71489,-6.436631202697754
-0.8,1.0,0.25,0,1,-8.294635,-7.6868215,-6.04332,-7.780483,-7.451314926147461
-0.8,1.0,0.5,0,0,-2.1500115,-1.4455425,-2.5932534,-2.0309331,-2.0549352169036865
-0.8,1.0,0.5,0,1,-2.1026957,-1.4268941,-2.4792747,-1.9270835,-1.9839869737625122
-0.8,1.0,0.75,0,0,-3.7245154,-2.2235556,-2.817923,-1.8208106,-2.6467010974884033
-0.8,1.0,0.75,0,1,-3.805265,-2.277389,-2.8852952,-1.8624157,-2.7075910568237305
-0.8,1.0,1.0,0,0,-2.8499033,-1.6624597,-2.935742,-3.475166,-2.7308177947998047
-0.8,1.0,1.0,0,1,-2.979097,-1.7915463,-3.1021492,-3.629901,-2.875673294067383
-0.4,0.2,0.0,0,0,-0.31411496,-0.44134322,-0.5001876,-0.17876245,-0.35860204696655273
-0.4,0.2,0.0,0,1,-0.20787178,-0.30615816,-0.3394371,-0.0961976,-0.23741614818572998
-0.4,0.2,0.25,0,0,-0.8461987,-0.2675085,-0.1920249,-0.10516314,-0.3527238070964813
-0.4,0.2,0.25,0,1,-0.7134083,-0.09578065,-0.06442455,-0.034431037,-0.22701114416122437
-0.4,0.2,0.5,0,0,-0.20612028,-0.15915623,-0.2694012,-0.30424905,-0.23473168909549713
-0.4,0.2,0.5,0,1,-0.12755571,-0.08421468,-0.17882086,-0.24334519,-0.15848411619663239
-0.4,0.2,0.75,0,0,-1.4548066,-0.41716546,-0.4015378,-0.14730166,-0.6052029132843018
-0.4,0.2,0.75,0,1,-1.4086844,-0.38145053,-0.38248596,-0.15044814,-0.5807672142982483
-0.4,0.2,1.0,0,0,-0.22169834,-0.27020076,-0.27371633,-0.4487653,-0.3035951852798462
-0.4,0.2,1.0,0,1,-0.29794577,-0.33667815,-0.31665477,-0.5050752,-0.3640884757041931
-0.4,0.4,0.0,0,0,-0.43775523,-0.15927158,-0.2893072,-0.66580427,-0.3880345821380615
-0.4,0.4,0.0,0,1,-0.48794723,-0.24037272,-0.32935324,-0.74186647,-0.44988492131233215
-0.4,0.4,0.25,0,0,-0.80219823,-0.9888362,-0.31781957,-0.91792315,-0.7566943168640137
-0.4,0.4,0.25,0,1,-0.88247544,-1.0923539,-0.3917538,-1.0663481,-0.858232855796814
-0.4,0.4,0.5,0,0,-0.47337887,-0.7716973,-0.23366494,-1.0408425,-0.6298959255218506
-0.4,0.4,0.5,0,1,-0.52565414,-0.7950462,-0.33871287,-1.1316104,-0.6977559328079224
-0.4,0.4,0.75,0,0,-0.46847272,-0.75136054,-0.24000736,-0.2946552,-0.43862396478652954
-0.4,0.4,0.75,0,1,-0.49932143,-0.79061866,-0.2754962,-0.33012754,-0.4738909602165222
-0.4,0.4,1.0,0,0,-0.52429014,-1.8557907,-0.4102918,-0.8243049,-0.9036694169044495
-0.4,0.4,1.0,0,1,-0.3030949,-1.5941161,-0.16566664,-0.7033547,-0.6915581226348877
-0.4,0.6,0.0,0,0,-0.86794764,-0.53573364,-0.87503844,-1.06203,-0.8351874351501465
-0.4,0.6,0.0,0,1,-0.92798835,-0.58973444,-0.9593315,-1.1031921,-0.8950616121292114
-0.4,0.6,0.25,0,0,-0.6282546,-0.36254746,-0.2657931,-0.23480748,-0.3728506565093994
-0.4,0.6,0.25,0,1,-0.9096677,-0.6700561,-0.5950492,-0.5418127,-0.679146409034729
-0.4,0.6,0.5,0,0,-0.54517126,-2.9598734,-1.0077751,-2.248322,-1.6902854442596436
-0.4,0.6,0.5,0,1,-0.50399584,-3.0027854,-0.9957474,-2.275398,-1.694481611251831
-0.4,0.6,0.75,0,0,-1.3962995,-1.3161288,-0.5239346,-0.6320353,-0.9670995473861694
-0.4,0.6,0.75,0,1,-1.4045352,-1.3668852,-0.6313494,-0.7009482,-1.0259294509887695
-0.4,0.6,1.0,0,0,-1.6799351,-0.39206883,-1.478976,-0.20193338,-0.9382283091545105
-0.4,0.6,1.0,0,1,-2.344122,-1.0967224,-2.1855812,-0.7150658,-1.5853729248046875
-0.4,0.8,0.0,0,0,-0.6263629,-1.8860025,-0.35218084,-2.108557,-1.2432758808135986
-0.4,0.8,0.0,0,1,-0.63676786,-1.878905,-0.34093916,-2.138211,-1.2487058639526367
-0.4,0.8,0.25,0,0,-4.177393,-3.2831948,-1.6406915,-7.4450135,-4.136573314666748
-0.4,0.8,0.25,0,1,-4.334256,-3.4643977,-1.677106,-7.513637,-4.247349262237549
-0.4,0.8,0.5,0,0,-0.74228644,-0.45873585,-1.0120147,-1.2733434,-0.8715951442718506
-0.4,0.8,0.5,0,1,-1.3053874,-1.0413839,-1.6244746,-1.8553871,-1.4566582441329956
-0.4,0.8,0.75,0,0,-1.3894745,-0.9195078,-1.280168,-3.226484,-1.7039086818695068
-0.4,0.8,0.75,0,1,-1.0400523,-0.45320728,-0.79949594,-3.0399685,-1.3331810235977173
-0.4,0.8,1.0,0,0,-1.146355,-1.807122,-1.2523727,-2.866487,-1.768084168434143
-0.4,0.8,1.0,0,1,-0.9487141,-1.3193922,-0.838913,-2.7763598,-1.4708447456359863
-0.4,1.0,0.0,0,0,-1.3442168,-0.37519738,-0.38844037,-0.41355136,-0.6303514838218689
