alpha,sigma,epsilon,replication,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward,mean_reward,convergence_time,policy_key
-0.8,0.2,0.0,0,-0.39451169967651367,-0.29774248600006104,-0.704698920249939,-0.37676095962524414,-0.44342851638793945,2.0,a-0.8_s0.2_e0.0_r0
-0.8,0.2,0.25,0,-0.11310602724552155,-0.1473831832408905,-0.2840540111064911,-0.17576384544372559,-0.18007677793502808,2.0,a-0.8_s0.2_e0.25_r0
-0.8,0.2,0.5,0,-0.40878063440322876,-0.5013187527656555,-0.6558293700218201,-0.24384644627571106,-0.45244377851486206,2.0,a-0.8_s0.2_e0.5_r0
-0.8,0.2,0.75,0,-0.05247724801301956,-0.05372291058301926,-0.051317982375621796,-0.020537132397294044,-0.044513821601867676,2.0,a-0.8_s0.2_e0.75_r0
-0.8,0.2,1.0,0,-0.7890889644622803,-0.8277838230133057,-1.3115191459655762,-0.8546609878540039,-0.9457632303237915,2.0,a-0.8_s0.2_e1.0_r0
-0.8,0.4,0.0,0,-0.23998677730560303,-0.2952113747596741,-0.3482373058795929,-0.3609931170940399,-0.31110715866088867,2.0,a-0.8_s0.4_e0.0_r0
-0.8,0.4,0.25,0,-0.16882149875164032,-0.3119455575942993,-0.20794357359409332,-0.21880926191806793,-0.22687996923923492,2.0,a-0.8_s0.4_e0.25_r0
-0.8,0.4,0.5,0,-1.4382400512695312,-2.4842705726623535,-1.626072883605957,-1.6097357273101807,-1.7895798683166504,2.0,a-0.8_s0.4_e0.5_r0
-0.8,0.4,0.75,0,-0.8141357898712158,-0.8396538496017456,-1.2416653633117676,-0.6946401596069336,-0.8975237607955933,2.0,a-0.8_s0.4_e0.75_r0
-0.8,0.4,1.0,0,-0.44465741515159607,-0.5365514755249023,-0.45733311772346497,-0.3898776173591614,-0.4571049213409424,2.0,a-0.8_s0.4_e1.0_r0
-0.8,0.6,0.0,0,-1.2006924152374268,-1.6519556045532227,-0.7419102191925049,-1.4004406929016113,-1.2487497329711914,2.0,a-0.8_s0.6_e0.0_r0
-0.8,0.6,0.25,0,-1.0816571712493896,-1.1649664640426636,-1.008030652999878,-1.1608307361602783,-1.10387122631073,2.0,a-0.8_s0.6_e0.25_r0
-0.8,0.6,0.5,0,-0.4999878406524658,-0.4374973177909851,-0.3634590208530426,-0.6648551225662231,-0.49144983291625977,2.0,a-0.8_s0.6_e0.5_r0
-0.8,0.6,0.75,0,-1.4834163188934326,-2.0403900146484375,-1.5890092849731445,-2.379408836364746,-1.873056173324585,2.0,a-0.8_s0.6_e0.75_r0
-0.8,0.6,1.0,0,-1.1220600605010986,-1.6863436698913574,-2.002901554107666,-2.6332530975341797,-1.8611395359039307,2.0,a-0.8_s0.6_e1.0_r0
-0.8,0.8,0.0,0,-1.4112167358398438,-2.1551809310913086,-2.4891324043273926,-1.5561479330062866,-1.9029195308685303,2.0,a-0.8_s0.8_e0.0_r0
-0.8,0.8,0.25,0,-2.9081130027770996,-3.2404403686523438,-2.486003875732422,-2.6245601177215576,-2.81477952003479,2.0,a-0.8_s0.8_e0.25_r0
-0.8,0.8,0.5,0,-1.5522820949554443,-1.7780299186706543,-1.1899570226669312,-1.3604576587677002,-1.4701817035675049,2.0,a-0.8_s0.8_e0.5_r0
-0.8,0.8,0.75,0,-1.7195509672164917,-1.871824026107788,-1.4101111888885498,-1.60489821434021,-1.6515960693359375,2.0,a-0.8_s0.8_e0.75_r0
-0.8,0.8,1.0,0,-2.656851291656494,-2.709871768951416,-3.0931591987609863,-1.7965260744094849,-2.5641021728515625,2.0,a-0.8_s0.8_e1.0_r0
-0.8,1.0,0.0,0,-0.8406250476837158,-1.1736907958984375,-1.1282695531845093,-1.1083729267120361,-1.062739610671997,2.0,a-0.8_s1.0_e0.0_r0
-0.8,1.0,0.25,0,-7.784966468811035,-7.189761161804199,-5.553478240966797,-7.247686386108398,-6.943973064422607,2.0,a-0.8_s1.0_e0.25_r0
-0.8,1.0,0.5,0,-2.1263537406921387,-1.43621826171875,-2.536263942718506,-1.9790083169937134,-2.019461154937744,2.0,a-0.8_s1.0_e0.5_r0
-0.8,1.0,0.75,0,-3.764890193939209,-2.2504723072052,-2.851609230041504,-1.8416130542755127,-2.6771461963653564,2.0,a-0.8_s1.0_e0.75_r0
-0.8,1.0,1.0,0,-2.9145002365112305,-1.7270030975341797,-3.0189456939697266,-3.5525336265563965,-2.8032455444335938,2.0,a-0.8_s1.0_e1.0_r0
-0.4,0.2,0.0,0,-0.2609933614730835,-0.3737506866455078,-0.41981232166290283,-0.1374800205230713,-0.29800909757614136,2.0,a-0.4_s0.2_e0.0_r0
-0.4,0.2,0.25,0,-0.7798035144805908,-0.18164457380771637,-0.12822473049163818,-0.0697970911860466,-0.28986746072769165,2.0,a-0.4_s0.2_e0.25_r0
-0.4,0.2,0.5,0,-0.16683799028396606,-0.1216854602098465,-0.22411102056503296,-0.2737971246242523,-0.19660788774490356,2.0,a-0.4_s0.2_e0.5_r0
-0.4,0.2,0.75,0,-1.4317455291748047,-0.3993079960346222,-0.3920118808746338,-0.1488749086856842,-0.5929850935935974,2.0,a-0.4_s0.2_e0.75_r0
-0.4,0.2,1.0,0,-0.2598220705986023,-0.3034394383430481,-0.29518556594848633,-0.4769202470779419,-0.33384183049201965,2.0,a-0.4_s0.2_e1.0_r0
-0.4,0.4,0.0,0,-0.46285122632980347,-0.19982215762138367,-0.3093302249908447,-0.7038353681564331,-0.41895973682403564,2.0,a-0.4_s0.4_e0.0_r0
-0.4,0.4,0.25,0,-0.8423368334770203,-1.0405950546264648,-0.3547866940498352,-0.9921356439590454,-0.807463526725769,2.0,a-0.4_s0.4_e0.25_r0
-0.4,0.4,0.5,0,-0.49951648712158203,-0.7833717465400696,-0.28618890047073364,-1.086226463317871,-0.6638258695602417,2.0,a-0.4_s0.4_e0.5_r0
-0.4,0.4,0.75,0,-0.4838970899581909,-0.7709895968437195,-0.25775179266929626,-0.31239137053489685,-0.4562574625015259,2.0,a-0.4_s0.4_e0.75_r0
-0.4,0.4,1.0,0,-0.41369253396987915,-1.7249534130096436,-0.28797921538352966,-0.7638298273086548,-0.7976137399673462,2.0,a-0.4_s0.4_e1.0_r0
-0.4,0.6,0.0,0,-0.8979679942131042,-0.5627340078353882,-0.9171849489212036,-1.082611083984375,-0.8651244640350342,2.0,a-0.4_s0.6_e0.0_r0
-0.4,0.6,0.25,0,-0.7689611315727234,-0.5163017511367798,-0.4304211735725403,-0.38831010460853577,-0.5259985327720642,2.0,a-0.4_s0.6_e0.25_r0
-0.4,0.6,0.5,0,-0.5245835781097412,-2.9813294410705566,-1.0017611980438232,-2.261859893798828,-1.6923835277557373,2.0,a-0.4_s0.6_e0.5_r0
-0.4,0.6,0.75,0,-1.4004173278808594,-1.3415069580078125,-0.5776419639587402,-0.6664917469024658,-0.9965144991874695,2.0,a-0.4_s0.6_e0.75_r0
-0.4,0.6,1.0,0,-2.012028455734253,-0.7443956136703491,-1.8322786092758179,-0.45849958062171936,-1.2618005275726318,2.0,a-0.4_s0.6_e1.0_r0
-0.4,0.8,0.0,0,-0.6315653920173645,-1.8824537992477417,-0.346560001373291,-2.1233839988708496,-1.2459907531738281,2.0,a-0.4_s0.8_e0.0_r0
-0.4,0.8,0.25,0,-4.255824565887451,-3.373796224594116,-1.6588988304138184,-7.479325294494629,-4.191961288452148,2.0,a-0.4_s0.8_e0.25_r0
-0.4,0.8,0.5,0,-1.0238368511199951,-0.7500598430633545,-1.3182446956634521,-1.564365267753601,-1.1641266345977783,2.0,a-0.4_s0.8_e0.5_r0
-0.4,0.8,0.75,0,-1.2147634029388428,-0.6863575577735901,-1.0398319959640503,-3.1332263946533203,-1.5185447931289673,2.0,a-0.4_s0.8_e0.75_r0
-0.4,0.8,1.0,0,-1.0475345849990845,-1.563257098197937,-1.0456428527832031,-2.8214235305786133,-1.6194645166397095,2.0,a-0.4_s0.8_e1.0_r0
-0.4,1.0,0.0,0,-1.5194340944290161,-0.5669841170310974,-0.5771799087524414,-0.6108371019363403,-0.8186087608337402,2.0,a-0.4_s1.0_e0.0_r0
-0.4,1.0,0.25,0,-0.6972330808639526,-1.356378436088562,-3.875577688217163,-1.6281691789627075,-1.889339566230774,2.0,a-0.4_s1.0_e0.25_r0
-0.4,1.0,0.5,0,-0.7566827535629272,-1.5660719871520996,-0.7813407778739929,-0.40519458055496216,-0.8773225545883179,2.0,a-0.4_s1.0_e0.5_r0
-0.4,1.0,0.75,0,-2.2402007579803467,-0.8178911209106445,-1.0569449663162231,-1.5502345561981201,-1.4163179397583008,2.0,a-0.4_s1.0_e0.75_r0
-0.4,1.0,1.0,0,-2.2032361030578613,-6.900393009185791,-2.3703885078430176,-1.676455020904541,-3.2876181602478027,2.0,a-0.4_s1.0_e1.0_r0
0.0,0.2,0.0,0,-0.2516481876373291,-0.4532768130302429,-0.06606850028038025,-0.17516663670539856,-0.2365400195121765,2.0,a0.0_s0.2_e0.0_r0
0.0,0.2,0.25,0,-1.5908434391021729,-0.4358583688735962,-0.544862687587738,-0.06869377940893173,-0.6600646376609802,2.0,a0.0_s0.2_e0.25_r0
0.0,0.2,0.5,0,-1.1659998893737793,-0.5305250883102417,-0.13485097885131836,-0.9831933975219727,-0.7036423683166504,2.0,a0.0_s0.2_e0.5_r0
0.0,0.2,0.75,0,-0.6040952801704407,-0.18937024474143982,-0.25014227628707886,-1.0962482690811157,-0.5349639654159546,2.0,a0.0_s0.2_e0.75_r0
0.0,0.2,1.0,0,-0.3151456117630005,-0.7976971864700317,-0.2952180504798889,-0.8452638983726501,-0.5633311867713928,2.0,a0.0_s0.2_e1.0_r0
0.0,0.4,0.0,0,-0.9322012662887573,-2.3425259590148926,-0.591309666633606,-5.475229263305664,-2.3353166580200195,2.0,a0.0_s0.4_e0.0_r0
0.0,0.4,0.25,0,-1.228873372077942,-0.24910858273506165,-4.661515235900879,-0.908286452293396,-1.7619459629058838,2.0,a0.0_s0.4_e0.25_r0
0.0,0.4,0.5,0,-0.3981133699417114,-0.21295234560966492,-0.703311562538147,-1.364588737487793,-0.6697415113449097,2.0,a0.0_s0.4_e0.5_r0
0.0,0.4,0.75,0,-1.2299190759658813,-1.1412616968154907,-1.1522092819213867,-2.1549148559570312,-1.4195761680603027,2.0,a0.0_s0.4_e0.75_r0
0.0,0.4,1.0,0,-1.5369142293930054,-1.1684932708740234,-0.5616540312767029,-0.9068971276283264,-1.043489694595337,2.0,a0.0_s0.4_e1.0_r0
0.0,0.6,0.0,0,-2.0303797721862793,-1.0850859880447388,-1.4310739040374756,-0.8060917258262634,-1.3381577730178833,2.0,a0.0_s0.6_e0.0_r0
0.0,0.6,0.25,0,-2.9139513969421387,-0.5232987403869629,-0.4988948702812195,-0.8231759071350098,-1.1898303031921387,2.0,a0.0_s0.6_e0.25_r0
0.0,0.6,0.5,0,-2.3734145164489746,-0.7373154759407043,-0.5235259532928467,-0.6879677176475525,-1.0805559158325195,2.0,a0.0_s0.6_e0.5_r0
0.0,0.6,0.75,0,-0.7513445019721985,-2.326846122741699,-0.6907778978347778,-1.3153231143951416,-1.2710728645324707,2.0,a0.0_s0.6_e0.75_r0
0.0,0.6,1.0,0,-2.3277010917663574,-2.4158220291137695,-2.77677845954895,-2.675205707550049,-2.5488767623901367,2.0,a0.0_s0.6_e1.0_r0
0.0,0.8,0.0,0,-0.592432975769043,-0.5307311415672302,-0.971900463104248,-2.214313268661499,-1.0773444175720215,2.0,a0.0_s0.8_e0.0_r0
0.0,0.8,0.25,0,-3.8244171142578125,-1.621293306350708,-6.382157325744629,-1.956059455871582,-3.445981740951538,2.0,a0.0_s0.8_e0.25_r0
0.0,0.8,0.5,0,-1.0254695415496826,-2.5987496376037598,-0.9581438302993774,-4.545027732849121,-2.2818477153778076,2.0,a0.0_s0.8_e0.5_r0
0.0,0.8,0.75,0,-0.37570101022720337,-4.128331184387207,-1.7288918495178223,-7.441494941711426,-3.418604850769043,2.0,a0.0_s0.8_e0.75_r0
0.0,0.8,1.0,0,-0.9245364665985107,-0.44166216254234314,-9.014898300170898,-1.5589394569396973,-2.98500919342041,2.0,a0.0_s0.8_e1.0_r0
0.0,1.0,0.0,0,-2.9413657188415527,-2.3605079650878906,-0.6756558418273926,-6.367990493774414,-3.0863800048828125,1.75,a0.0_s1.0_e0.0_r0
0.0,1.0,0.25,0,-6.533019065856934,-2.9969534873962402,-5.535515308380127,-1.4046175479888916,-4.117526054382324,2.0,a0.0_s1.0_e0.25_r0
0.0,1.0,0.5,0,-2.0862691402435303,-1.8826134204864502,-2.464571475982666,-3.0052719116210938,-2.3596816062927246,2.0,a0.0_s1.0_e0.5_r0
0.0,1.0,0.75,0,-0.827379047870636,-1.4960110187530518,-8.500799179077148,-1.8077600002288818,-3.157987356185913,2.0,a0.0_s1.0_e0.75_r0
0.0,1.0,1.0,0,-0.5968436598777771,-1.953169822692871,-1.6859270334243774,-1.311167597770691,-1.3867770433425903,2.0,a0.0_s1.0_e1.0_r0
0.4,0.2,0.0,0,-1.2424609661102295,-0.567924439907074,-0.19705049693584442,-0.43964940309524536,-0.6117713451385498,2.0,a0.4_s0.2_e0.0_r0
0.4,0.2,0.25,0,-0.4941645860671997,-0.17228257656097412,-0.6571491956710815,-0.2779327630996704,-0.40038228034973145,2.0,a0.4_s0.2_e0.25_r0
0.4,0.2,0.5,0,-0.13649356365203857,-0.05251140892505646,-0.16639679670333862,-0.3718869090080261,-0.18182216584682465,2.0,a0.4_s0.2_e0.5_r0
