model,target,aic,bic,intercept,friction,additive,multiplicative,alpha,sigma,epsilon
M1,reward_gap,263.1572833288033,268.8139108034079,1.0968326064094576,0.09271434791855758,,,,,
M2,reward_gap,260.85109808806436,266.50772556266895,0.94447589237146,,0.27408578647129145,,,,
M3,reward_gap,262.01610918301066,267.67273665761525,1.0886145144938955,,,0.5245191433199474,,,
M4,reward_gap,126.83817529886454,138.15143024807375,0.03180505597144434,,,,0.045390258242686166,2.0731625692074496,-0.05946468001206698
M1,convergence_time,414.08254001515365,419.73916748975824,1199.773611710753,-0.016750915506202634,,,,,
M2,convergence_time,413.98678643352304,419.6434139081276,1199.6754285714292,,0.0647619047622391,,,,
M3,convergence_time,411.8314816605366,417.4881091351412,1199.604256651017,,,0.47470005216455957,,,
M4,convergence_time,404.1012726069337,415.4145275561429,1199.9333333333345,,,,-0.033333333333450316,-0.9999999999998427,0.8266666666667274
M1,policy_variance,-825.7921757364727,-820.135548261868,0.05204019902573478,0.00020676330571385828,,,,,
M2,policy_variance,-826.2148571130734,-820.5582296384688,0.05334794363124029,,-0.0008865009631429263,,,,
M3,policy_variance,-828.3675886975759,-822.7109612229713,0.053472403507697164,,,-0.0036653697863804216,,,
M4,policy_variance,-900.1513069375826,-888.8380519883734,0.050132281392812755,,,,9.841348975896547e-05,0.014200692623853683,-0.012559808790683745
M1,pareto_inefficiency,318.7690081600062,324.4256356346108,1.0128292521576634,0.20724775697249595,,,,,
M2,pareto_inefficiency,338.6808991458244,344.337526620429,1.0871395921701201,,0.2355113458991052,,,,
M3,pareto_inefficiency,338.64801247643095,344.30463995103554,1.2024507605704764,,,0.47917104029552793,,,
M4,pareto_inefficiency,274.46408166318594,285.7773366123951,0.0652624701937052,,,,0.136994800355285,2.182187255794803,-0.056745502022902045
