alpha,sigma,epsilon,reward_mean,reward_std,reward_ci95,conv_mean,conv_std,conv_ci95,n
-0.800000,0.200000,0.000000,-0.447549,0.286206,0.102417,1200.000000,0.000000,0.000000,30
-0.800000,0.200000,0.250000,-0.597843,0.332525,0.118993,1200.000000,0.000000,0.000000,30
-0.800000,0.200000,0.500000,-0.600442,0.401401,0.143639,1200.000000,0.000000,0.000000,30
-0.800000,0.200000,0.750000,-0.484565,0.282039,0.100926,1200.000000,0.000000,0.000000,30
-0.800000,0.200000,1.000000,-0.534027,0.226228,0.080955,1200.000000,0.000000,0.000000,30
-0.800000,0.400000,0.000000,-0.933342,0.467989,0.167468,1200.000000,0.000000,0.000000,30
-0.800000,0.400000,0.250000,-0.993217,0.485384,0.173692,1200.000000,0.000000,0.000000,30
-0.800000,0.400000,0.500000,-1.130110,0.777476,0.278216,1200.000000,0.000000,0.000000,30
-0.800000,0.400000,0.750000,-1.318556,0.763595,0.273249,1200.000000,0.000000,0.000000,30
-0.800000,0.400000,1.000000,-1.419190,1.090387,0.390190,1200.000000,0.000000,0.000000,30
-0.800000,0.600000,0.000000,-1.360833,0.671264,0.240209,1200.000000,0.000000,0.000000,30
-0.800000,0.600000,0.250000,-1.409038,0.754031,0.269827,1200.000000,0.000000,0.000000,30
-0.800000,0.600000,0.500000,-1.702875,1.110295,0.397314,1200.000000,0.000000,0.000000,30
-0.800000,0.600000,0.750000,-1.830098,0.932751,0.333781,1200.000000,0.000000,0.000000,30
-0.800000,0.600000,1.000000,-1.657040,0.843128,0.301709,1200.000000,0.000000,0.000000,30
-0.800000,0.800000,0.000000,-1.940154,1.065913,0.381432,1196.666667,18.257419,6.533333,30
-0.800000,0.800000,0.250000,-1.687093,0.958118,0.342858,1200.000000,0.000000,0.000000,30
-0.800000,0.800000,0.500000,-1.758395,0.753116,0.269499,1200.000000,0.000000,0.000000,30
-0.800000,0.800000,0.750000,-2.257759,1.449018,0.518524,1200.000000,0.000000,0.000000,30
-0.800000,0.800000,1.000000,-2.606772,1.530457,0.547667,1200.000000,0.000000,0.000000,30
-0.800000,1.000000,0.000000,-2.373868,1.773189,0.634527,1200.000000,0.000000,0.000000,30
-0.800000,1.000000,0.250000,-3.057047,1.756586,0.628586,1195.000000,27.386128,9.800000,30
-0.800000,1.000000,0.500000,-2.705471,1.809459,0.647506,1200.000000,0.000000,0.000000,30
-0.800000,1.000000,0.750000,-2.900922,1.084044,0.387920,1200.000000,0.000000,0.000000,30
-0.800000,1.000000,1.000000,-3.067610,1.580346,0.565520,1200.000000,0.000000,0.000000,30
-0.400000,0.200000,0.000000,-0.483911,0.187593,0.067129,1200.000000,0.000000,0.000000,30
-0.400000,0.200000,0.250000,-0.452754,0.175783,0.062903,1200.000000,0.000000,0.000000,30
-0.400000,0.200000,0.500000,-0.447057,0.145956,0.052230,1200.000000,0.000000,0.000000,30
-0.400000,0.200000,0.750000,-0.475251,0.141043,0.050471,1200.000000,0.000000,0.000000,30
-0.400000,0.200000,1.000000,-0.533190,0.183674,0.065727,1200.000000,0.000000,0.000000,30
