alpha,sigma,epsilon,friction,reward_gap,convergence_time,policy_variance,pareto_inefficiency
-0.8,0.2,0.0,1.0000000000000002,0.4475487217307091,1200.0,0.040879830718040466,0.5537238294879595
-0.8,0.2,0.25,1.2500000000000002,0.5978434960047404,1200.0,0.02957255020737648,0.6805611739555995
-0.8,0.2,0.5,1.5000000000000007,0.6004415897031625,1200.0,0.03615749999880791,1.0358661944667498
-0.8,0.2,0.75,1.7500000000000007,0.4845652118325233,1200.0,0.0226859413087368,0.41456291551391283
-0.8,0.2,1.0,2.0000000000000004,0.5340266664822896,1200.0,0.031620852649211884,0.5012459476788839
-0.8,0.4,0.0,2.0000000000000004,0.9333418041467667,1200.0,0.036255303770303726,1.1958128208915393
-0.8,0.4,0.25,2.5000000000000004,0.9932168970505396,1200.0,0.05293913558125496,1.1908891181151071
-0.8,0.4,0.5,3.0000000000000013,1.1301103125015894,1200.0,0.03497779369354248,1.7192300602793693
-0.8,0.4,0.75,3.5000000000000013,1.3185556828975677,1200.0,0.03072506934404373,1.8794632077217102
-0.8,0.4,1.0,4.000000000000001,1.419190267721812,1200.0,0.036362215876579285,1.8846340248982112
-0.8,0.6,0.0,3.0000000000000004,1.3608327150344848,1200.0,0.042335495352745056,2.056079172094663
-0.8,0.6,0.25,3.750000000000001,1.409038112560908,1200.0,0.040280770510435104,2.1702925374110538
-0.8,0.6,0.5,4.500000000000001,1.7028748532136282,1200.0,0.04072967544198036,2.015959014495214
-0.8,0.6,0.75,5.250000000000002,1.8300978660583496,1200.0,0.03765826299786568,2.150524923702081
-0.8,0.6,1.0,6.000000000000001,1.6570395608743032,1200.0,0.03862522169947624,1.8013049453496932
-0.8,0.8,0.0,4.000000000000001,1.9401539822419485,1196.6666666666667,0.05740984156727791,2.3706488500038785
-0.8,0.8,0.25,5.000000000000001,1.6870926817258198,1200.0,0.049392182379961014,2.3672216912110646
-0.8,0.8,0.5,6.000000000000003,1.7583949287732443,1200.0,0.04189790040254593,2.2245063960552214
-0.8,0.8,0.75,7.000000000000003,2.2577592472235364,1200.0,0.048909638077020645,2.817019110918045
-0.8,0.8,1.0,8.000000000000002,2.6067717373371124,1200.0,0.04052061587572098,3.5010493005315464
-0.8,1.0,0.0,5.000000000000001,2.3738684515158335,1200.0,0.07005369663238525,2.9006868273019792
-0.8,1.0,0.25,6.250000000000002,3.057046820720037,1195.0,0.05250261723995209,4.376914383967717
-0.8,1.0,0.5,7.500000000000002,2.7054712573687234,1200.0,0.03776223212480545,3.441379789511363
-0.8,1.0,0.75,8.750000000000002,2.9009217818578086,1200.0,0.04629085585474968,2.719598909219106
-0.8,1.0,1.0,10.000000000000002,3.0676100611686707,1200.0,0.03809149190783501,3.500197459260623
-0.4,0.2,0.0,0.33333333333333337,0.4839105968674024,1200.0,0.023770364001393318,0.3774385879437129
-0.4,0.2,0.25,0.4166666666666667,0.45275417317946753,1200.0,0.030013538897037506,0.37644892434279126
