model,target,aic,bic,intercept,friction,additive,multiplicative,alpha,sigma,epsilon
M1,reward_gap,322.2758049312735,327.9324324058781,1.4685490454502774,0.15891376455082257,,,,,
M2,reward_gap,315.03522726750634,320.69185474211093,1.170709298621114,,0.5031489891748582,,,,
M3,reward_gap,310.89791768487515,316.55454515947974,1.392871823012092,,,1.1043378790045502,,,
M4,reward_gap,165.69144218378676,177.00469713299597,-0.09029475323359058,,,,-0.01730698300401423,2.785742860446374,0.2860444473584497
M1,convergence_time,692.8409154369846,698.4975429115892,1198.3947804423008,0.2021791211277385,,,,,
M2,convergence_time,691.6551504154968,697.3117778901014,1197.9112380952386,,0.7352380952384331,,,,
M3,convergence_time,688.6125467541801,694.2691742287848,1198.054585289515,,,2.2180490349502273,,,
M4,convergence_time,670.8008933062421,682.1141482554513,1199.0066666666678,,,,-0.6500000000001425,-3.5666666666666758,3.7066666666666532
M1,policy_variance,-808.9180324766459,-803.2614050020412,0.039165883573253416,0.0008475253757465566,,,,,
M2,policy_variance,-805.9786294722226,-800.3220019976179,0.039458828776223344,,0.0009730544558593345,,,,
M3,policy_variance,-805.3967550607446,-799.7401275861399,0.040763564331081,,,-0.0007812521780414095,,,
M4,policy_variance,-899.3762033205309,-888.0629483713217,0.033662568971514754,,,,-0.0007347664237022482,0.02058466561138629,-0.010968359321355823
M1,pareto_inefficiency,295.56874277798204,301.22537025258663,1.140694010587093,0.2610824827284434,,,,,
M2,pareto_inefficiency,318.55353624879825,324.21016372340284,1.0271968848201303,,0.48496995271311905,,,,
M3,pareto_inefficiency,315.4214098075172,321.0780372821218,1.2450815755269382,,,1.0519408575920741,,,
M4,pareto_inefficiency,223.50558038559774,234.81883533480695,-0.10189603933542889,,,,-0.04814723270634813,2.5205408189520244,0.3004707615375521
