alpha,sigma,epsilon,friction,reward_gap,convergence_time,policy_variance,pareto_inefficiency
-0.8,0.2,0.0,1.0000000000000002,0.2041940540075302,400.0,0.03378366306424141,0.14435066282749176
-0.8,0.2,0.25,1.2500000000000002,0.6547192335128784,400.0,0.05742587521672249,0.0
-0.8,0.2,0.5,1.5000000000000007,0.3393973708152771,400.0,0.055122777819633484,0.0
-0.8,0.2,0.75,1.7500000000000007,0.43272680044174194,400.0,0.03434261307120323,0.4167974889278412
-0.8,0.2,1.0,2.0000000000000004,0.26744295656681055,400.0,0.02089233137667179,0.18185921013355255
-0.8,0.4,0.0,2.0000000000000004,0.49909172952175135,400.0,0.025883613154292107,0.5251192450523376
-0.8,0.4,0.25,2.5000000000000004,0.829246811568737,400.0,0.02608550526201725,1.463024377822876
-0.8,0.4,0.5,3.0000000000000013,0.7651627510786057,400.0,0.016095468774437904,1.074626088142395
-0.8,0.4,0.75,3.5000000000000013,0.8431960344314575,400.0,0.036535412073135376,0.37407782673835754
-0.8,0.4,1.0,4.000000000000001,0.5438394546508789,400.0,0.021937323734164238,0.15331114828586578
-0.8,0.6,0.0,3.0000000000000004,0.4971766322851181,400.0,0.02341601252555847,0.0
-0.8,0.6,0.25,3.750000000000001,1.3239467144012451,400.0,0.09137214720249176,1.2763121128082275
-0.8,0.6,0.5,4.500000000000001,1.9008976221084595,400.0,0.07898370921611786,1.4887568950653076
-0.8,0.6,0.75,5.250000000000002,0.7317610383033752,400.0,0.027867034077644348,0.39788463711738586
-0.8,0.6,1.0,6.000000000000001,2.018541991710663,400.0,0.056100476533174515,2.4855196475982666
-0.8,0.8,0.0,4.000000000000001,1.8442845344543457,400.0,0.07969595491886139,1.0570948123931885
-0.8,0.8,0.25,5.000000000000001,0.9086862206459045,400.0,0.057149190455675125,0.0
-0.8,0.8,0.5,6.000000000000003,1.211615361273289,400.0,0.033606067299842834,2.04824161529541
-0.8,0.8,0.75,7.000000000000003,1.1453714668750763,400.0,0.044674742966890335,1.4066581726074219
-0.8,0.8,1.0,8.000000000000002,0.6113850772380829,400.0,0.031368404626846313,0.0
-0.8,1.0,0.0,5.000000000000001,1.5236054956912994,400.0,0.04056955873966217,1.4757599830627441
-0.8,1.0,0.25,6.250000000000002,2.1663904190063477,400.0,0.02230558916926384,2.115241765975952
-0.8,1.0,0.5,7.500000000000002,1.2701167464256287,400.0,0.04333999752998352,0.0
-0.8,1.0,0.75,8.750000000000002,0.8773675560951233,400.0,0.019178098067641258,0.0
-0.8,1.0,1.0,10.000000000000002,2.0438984632492065,400.0,0.050593242049217224,0.0
-0.4,0.2,0.0,0.33333333333333337,0.30438825488090515,400.0,0.05523867905139923,0.0
-0.4,0.2,0.25,0.4166666666666667,0.29052907228469843,400.0,0.044613055884838104,0.0
-0.4,0.2,0.5,0.5000000000000001,0.55239337682724,400.0,0.03515579551458359,0.0
-0.4,0.2,0.75,0.5833333333333334,0.30617158114910126,400.0,0.026874389499425888,0.0
-0.4,0.2,1.0,0.6666666666666667,0.3069981634616852,400.0,0.02830447256565094,0.0
-0.4,0.4,0.0,0.6666666666666667,0.6658375561237335,400.0,0.03665317967534065,0.0
-0.4,0.4,0.25,0.8333333333333334,0.5397067815065384,400.0,0.02819044142961502,0.4346053898334503
-0.4,0.4,0.5,1.0000000000000002,0.4678519517183304,400.0,0.04472895711660385,0.0
-0.4,0.4,0.75,1.1666666666666667,0.8426828980445862,400.0,0.03255733847618103,0.0
-0.4,0.4,1.0,1.3333333333333335,0.6030935943126678,400.0,0.03615779057145119,0.0
-0.4,0.6,0.0,1.0,1.302184671163559,400.0,0.045336514711380005,1.5757561922073364
-0.4,0.6,0.25,1.25,1.9838300943374634,400.0,0.07130609452724457,3.3164005279541016
-0.4,0.6,0.5,1.5,0.9868527352809906,400.0,0.04722272977232933,0.0
-0.4,0.6,0.75,1.7500000000000002,1.060386210680008,400.0,0.02148679830133915,0.0
-0.4,0.6,1.0,2.0,0.9214338064193724,400.0,0.011507981456816196,0.9952439069747925
-0.4,0.8,0.0,1.3333333333333335,1.120648205280304,400.0,0.057156678289175034,0.0
-0.4,0.8,0.25,1.6666666666666667,1.2263144850730896,400.0,0.022184081375598907,0.0
-0.4,0.8,0.5,2.0000000000000004,1.44868803024292,400.0,0.045960888266563416,0.0
-0.4,0.8,0.75,2.3333333333333335,1.507066935300827,400.0,0.0783892273902893,0.0
-0.4,0.8,1.0,2.666666666666667,1.124658316373825,400.0,0.05882978439331055,1.226919174194336
-0.4,1.0,0.0,1.6666666666666667,1.6543203592300415,400.0,0.0717005506157875,1.419406771659851
-0.4,1.0,0.25,2.0833333333333335,1.2807201743125916,400.0,0.021819548681378365,0.0
-0.4,1.0,0.5,2.5,1.4350781440734863,400.0,0.03547733277082443,1.3248637914657593
-0.4,1.0,0.75,2.916666666666667,1.5528205037117004,400.0,0.042109936475753784,0.0
-0.4,1.0,1.0,3.3333333333333335,2.065426230430603,400.0,0.027171621099114418,2.2359750270843506
0.0,0.2,0.0,0.2,0.5281623154878616,400.0,0.04725451022386551,0.0
0.0,0.2,0.25,0.25,0.5809264779090881,400.0,0.05810633674263954,0.0
0.0,0.2,0.5,0.30000000000000004,0.2564928606152534,400.0,0.019555717706680298,0.0
0.0,0.2,0.75,0.35000000000000003,0.7064606547355652,400.0,0.030555222183465958,0.0
0.0,0.2,1.0,0.4,0.8968027234077454,400.0,0.01064245030283928,0.0
0.0,0.4,0.0,0.4,1.1018202304840088,400.0,0.09733178466558456,0.0
0.0,0.4,0.25,0.5,1.4238353371620178,400.0,0.03524366021156311,0.0
0.0,0.4,0.5,0.6000000000000001,1.4843579530715942,400.0,0.040668636560440063,0.0
0.0,0.4,0.75,0.7000000000000001,0.9231545627117157,400.0,0.09035521745681763,0.0
0.0,0.4,1.0,0.8,1.9041064977645874,400.0,0.03690741956233978,0.0
0.0,0.6,0.0,0.6,2.4823190569877625,400.0,0.07955947518348694,2.2136764526367188
0.0,0.6,0.25,0.75,1.9702695608139038,400.0,0.02899988740682602,0.0
0.0,0.6,0.5,0.8999999999999999,1.3565632104873657,400.0,0.0372270867228508,0.0
0.0,0.6,0.75,1.05,1.7228673100471499,400.0,0.03291065990924835,1.5285394191741943
0.0,0.6,1.0,1.2,2.247271776199341,400.0,0.05434136837720871,0.0
0.0,0.8,0.0,0.8,1.6617898344993591,400.0,0.04772932827472687,0.0
0.0,0.8,0.25,1.0,2.306788444519043,400.0,0.045153308659791946,0.0
0.0,0.8,0.5,1.2000000000000002,2.6863577365875244,400.0,0.037987928837537766,0.0
0.0,0.8,0.75,1.4000000000000001,2.2195807099342346,400.0,0.03798792511224747,0.0
0.0,0.8,1.0,1.6,3.121036171913147,400.0,0.07179028540849686,0.0
0.0,1.0,0.0,1.0,3.0435075759887695,400.0,0.02845589444041252,0.0
0.0,1.0,0.25,1.25,3.384544968605042,400.0,0.07294369488954544,0.0
0.0,1.0,0.5,1.5,4.33666729927063,400.0,0.03266015648841858,0.0
0.0,1.0,0.75,1.75,1.8050863146781921,400.0,0.03396686539053917,0.0
0.0,1.0,1.0,2.0,3.477497398853302,400.0,0.042853958904743195,5.928808212280273
0.4,0.2,0.0,0.14285714285714288,0.20572824031114573,400.0,0.03445851057767868,0.08553329855203629
0.4,0.2,0.25,0.17857142857142858,0.333792507648468,400.0,0.041999638080596924,0.0
0.4,0.2,0.5,0.21428571428571433,0.36363281309604645,400.0,0.02748568169772625,0.0
0.4,0.2,0.75,0.25000000000000006,0.16341156139969826,400.0,0.020254869014024734,0.0
0.4,0.2,1.0,0.28571428571428575,0.4744120091199875,400.0,0.02705945447087288,0.0
0.4,0.4,0.0,0.28571428571428575,0.5054186880588531,400.0,0.03044119104743004,0.0
0.4,0.4,0.25,0.35714285714285715,0.7772001028060913,400.0,0.0654754787683487,0.0
0.4,0.4,0.5,0.42857142857142866,0.7984241843223572,400.0,0.01981929875910282,0.4703223705291748
0.4,0.4,0.75,0.5000000000000001,1.4981259107589722,400.0,0.05403292924165726,1.9642302989959717
0.4,0.4,1.0,0.5714285714285715,0.9891963005065917,400.0,0.02823157049715519,0.0
0.4,0.6,0.0,0.4285714285714286,0.7726810276508331,400.0,0.03346399962902069,0.0
0.4,0.6,0.25,0.5357142857142857,1.034920871257782,400.0,0.0417659692466259,0.0
0.4,0.6,0.5,0.6428571428571428,1.202730417251587,400.0,0.02865404635667801,1.485822081565857
0.4,0.6,0.75,0.7500000000000001,0.8194254040718079,400.0,0.04538325220346451,0.0
0.4,0.6,1.0,0.8571428571428572,1.1969425976276398,400.0,0.012713738717138767,0.0
0.4,0.8,0.0,0.5714285714285715,0.9697609841823578,400.0,0.04417748749256134,0.0
0.4,0.8,0.25,0.7142857142857143,1.3419738411903381,400.0,0.045463621616363525,1.7554324865341187
0.4,0.8,0.5,0.8571428571428573,2.382610559463501,400.0,0.0352960042655468,0.0
0.4,0.8,0.75,1.0000000000000002,1.4854708909988403,400.0,0.02732490748167038,0.0
0.4,0.8,1.0,1.142857142857143,1.646974265575409,400.0,0.04952581226825714,0.0
0.4,1.0,0.0,0.7142857142857143,3.73610520362854,400.0,0.038621656596660614,0.0
0.4,1.0,0.25,0.8928571428571429,2.003913640975952,400.0,0.07906970381736755,0.9123071432113647
0.4,1.0,0.5,1.0714285714285714,1.2567694187164307,400.0,0.053087010979652405,1.1262301206588745
0.4,1.0,0.75,1.25,2.0827524065971375,400.0,0.026539769023656845,0.0
0.4,1.0,1.0,1.4285714285714286,2.1076154708862305,400.0,0.045102834701538086,0.0
0.8,0.2,0.0,0.11111111111111112,0.21571918576955795,400.0,0.0396890714764595,0.0
0.8,0.2,0.25,0.1388888888888889,0.15815305337309835,400.0,0.027934331446886063,0.11889750510454178
0.8,0.2,0.5,0.16666666666666669,0.14950279146432877,400.0,0.019970720633864403,0.0
0.8,0.2,0.75,0.19444444444444445,0.40100109577178955,400.0,0.03180024027824402,0.3111920654773712
0.8,0.2,1.0,0.22222222222222224,0.7747105062007904,400.0,0.12255548685789108,0.0
0.8,0.4,0.0,0.22222222222222224,0.9802241325378418,400.0,0.0415603369474411,0.0
0.8,0.4,0.25,0.2777777777777778,0.4959116578102112,400.0,0.022997263818979263,0.0
0.8,0.4,0.5,0.33333333333333337,0.8383327722549438,400.0,0.06174790859222412,0.5188680291175842
0.8,0.4,0.75,0.3888888888888889,1.163199797272682,400.0,0.05121948570013046,1.5109328031539917
0.8,0.4,1.0,0.4444444444444445,0.5590434521436691,400.0,0.021215736865997314,0.0
0.8,0.6,0.0,0.3333333333333333,0.8955651521682739,400.0,0.06282468140125275,0.0
0.8,0.6,0.25,0.41666666666666663,0.860970214009285,400.0,0.02553216740489006,0.9496059417724609
0.8,0.6,0.5,0.49999999999999994,1.2486129999160767,400.0,0.025294749066233635,1.1348376274108887
0.8,0.6,0.75,0.5833333333333334,1.0399958193302155,400.0,0.06637091189622879,0.0
0.8,0.6,1.0,0.6666666666666666,0.6515430063009262,400.0,0.0382421649992466,0.7085587382316589
0.8,0.8,0.0,0.4444444444444445,3.1262112855911255,400.0,0.04513274133205414,3.3737285137176514
0.8,0.8,0.25,0.5555555555555556,1.1750476956367493,400.0,0.035617537796497345,1.0813833475112915
0.8,0.8,0.5,0.6666666666666667,0.8394899070262909,400.0,0.03351447731256485,0.6665018200874329
0.8,0.8,0.75,0.7777777777777778,1.0167116820812225,400.0,0.04260532930493355,0.7278229594230652
0.8,0.8,1.0,0.888888888888889,2.3052226305007935,400.0,0.04107803851366043,0.0
0.8,1.0,0.0,0.5555555555555556,1.6081428527832031,400.0,0.04516265168786049,2.179788589477539
0.8,1.0,0.25,0.6944444444444444,3.085541605949402,400.0,0.09448284655809402,1.6880918741226196
0.8,1.0,0.5,0.8333333333333333,1.022804617881775,400.0,0.03277606517076492,0.7170722484588623
0.8,1.0,0.75,0.9722222222222222,1.0599576234817505,400.0,0.016420744359493256,0.40875953435897827
0.8,1.0,1.0,1.1111111111111112,1.6694460809230804,400.0,0.052094362676143646,1.3828589916229248
