model,target,aic,bic,intercept,friction,additive,multiplicative,alpha,sigma,epsilon
M1,reward_gap,309.3980280448061,315.0546555194107,1.165425823398816,0.051947881093570965,,,,,
M2,reward_gap,304.2822493976769,309.93887687228147,0.9580226654722582,,0.26451366838954754,,,,
M3,reward_gap,304.16279542322076,309.81942289782535,1.086804540425399,,,0.5406105342512024,,,
M4,reward_gap,231.48895956675432,242.80221451596353,0.016488636076450902,,,,0.08373905349522803,2.035122759044171,0.02285081839561482
M1,convergence_time,-7275.224796132723,-7269.568168658118,400.00000000000006,-2.2239936913572987e-14,,,,,
M2,convergence_time,-7020.66141558178,-7015.004788107175,400.00000000000006,,7.53911016679777e-14,,,,
M3,convergence_time,-7202.231310058353,-7196.574682583749,399.99999999999994,,,-5.531314587192385e-14,,,
M4,convergence_time,-6835.342462099154,-6824.029207149944,400.0000000000002,,,,-1.9423018849638454e-14,1.0828370754774763e-13,3.1890676787231657e-14
M1,policy_variance,-624.2858588306725,-618.6292313560679,0.04230814529581997,-0.000147122925813663,,,,,
M2,policy_variance,-624.6025315067604,-618.9459040321558,0.04362723727921646,,-0.0014143179257710646,,,,
M3,policy_variance,-624.9868154280434,-619.3301879534388,0.04332372729179445,,,-0.0041741324364206285,,,
M4,policy_variance,-625.2823005225367,-613.9690455733275,0.0420265170782805,,,,0.0006834505498409212,0.007643647938966752,-0.009082436561584481
M1,pareto_inefficiency,329.1812674406501,334.8378949152547,0.39550399993245705,0.08019841042274428,,,,,
M2,pareto_inefficiency,330.4531593560024,336.109786830607,0.33814716794434074,,0.1694197305554437,,,,
M3,pareto_inefficiency,330.3897948122738,336.0464222868784,0.42012175761226206,,,0.34795704647688797,,,
M4,pareto_inefficiency,324.555757171287,335.86901212049617,-0.024970098495482894,,,,-0.059407631829381136,0.9633546593785286,-0.05706765115261083
